Team,Offers_to_Receive,Goals
Spain,4036,14
Argentina,3283,19
England,3219,20
France,2689,20
Morocco,2397,10
Belgium,2261,14
Colombia,2159,5
Norway,2140,13
Switzerland,2111,10
Mexico,2034,10
Egypt,1963,8
Brazil,1952,10
USA,1913,11
Portugal,1881,8
Algeria,1621,5
Germany,1591,11
Canada,1589,9
Senegal,1486,10
Japan,1479,8
Ecuador,1308,2
Türkiye,1275,3
Cabo Verde,1243,4
Croatia,1238,6
Congo DR,1237,5
Austria,1234,6
South Africa,1212,2
Korea Republic,1201,2
Netherlands,1195,11
Uruguay,1182,3
Côte d'Ivoire,1112,5
Sweden,1065,7
New Zealand,1062,4
Scotland,1040,1
Australia,1039,3
Tunisia,1000,2
Bosnia and Herzegovina,986,5
Iraq,955,1
Panama,889,0
Haiti,834,2
Uzbekistan,801,2
Ghana,772,2
IR Iran,761,3
Jordan,741,3
Czechia,740,2
Paraguay,734,3
Saudi Arabia,707,1
Qatar,643,2
Curaçao,621,1
