Team,Clean_Sheets
England,2
France,4
Argentina,2
Spain,7
Belgium,1
Norway,0
USA,2
Germany,0
Netherlands,0
Senegal,1
Switzerland,2
Brazil,2
Morocco,2
Mexico,4
Canada,2
Portugal,2
Egypt,0
Japan,1
Sweden,0
Austria,0
Croatia,1
Bosnia and Herzegovina,0
Congo DR,0
Algeria,0
Côte d'Ivoire,2
Colombia,4
New Zealand,0
Cabo Verde,2
Australia,2
Paraguay,2
Türkiye,0
Uruguay,0
IR Iran,1
Jordan,0
Qatar,0
Ghana,2
Tunisia,0
Czechia,0
Korea Republic,0
Uzbekistan,0
Haiti,0
South Africa,1
Ecuador,1
Curaçao,1
Scotland,1
Saudi Arabia,1
Iraq,0
Panama,0
