Team,Average_Speed,Goals
England,5.88,20
France,5.93,20
Argentina,5.61,19
Spain,6.04,14
Belgium,6.24,14
Norway,6.13,13
USA,6.23,11
Germany,6.29,11
Netherlands,5.77,11
Senegal,5.86,10
Switzerland,5.97,10
Brazil,5.88,10
Morocco,5.87,10
Mexico,6.01,10
Canada,6.1,9
Portugal,5.83,8
Egypt,6.04,8
Japan,6.02,8
Sweden,5.99,7
Austria,5.99,6
Croatia,5.98,6
Bosnia and Herzegovina,6.04,5
Congo DR,5.96,5
Algeria,6.0,5
Côte d'Ivoire,5.81,5
Colombia,5.63,5
New Zealand,6.22,4
Cabo Verde,5.87,4
Australia,6.13,3
Paraguay,5.9,3
Türkiye,6.1,3
Uruguay,5.88,3
IR Iran,6.08,3
Jordan,6.13,3
Qatar,5.64,2
Ghana,5.76,2
Tunisia,6.09,2
Czechia,6.33,2
Korea Republic,6.09,2
Uzbekistan,5.9,2
Haiti,5.96,2
South Africa,5.9,2
Ecuador,5.72,2
Curaçao,5.74,1
Scotland,6.21,1
Saudi Arabia,6.02,1
Iraq,6.09,1
Panama,6.04,0
