Team,Average_Speed,Goals,Group
Japan,6.02,8,Above-average speed
Türkiye,6.1,3,Above-average speed
Spain,6.04,14,Above-average speed
Iraq,6.09,1,Above-average speed
Croatia,5.98,6,Above-average speed
Sweden,5.99,7,Above-average speed
Algeria,6.0,5,Above-average speed
Belgium,6.24,14,Above-average speed
Saudi Arabia,6.02,1,Above-average speed
Mexico,6.01,10,Above-average speed
Norway,6.13,13,Above-average speed
Bosnia and Herzegovina,6.04,5,Above-average speed
Australia,6.13,3,Above-average speed
USA,6.23,11,Above-average speed
Germany,6.29,11,Above-average speed
Korea Republic,6.09,2,Above-average speed
IR Iran,6.08,3,Above-average speed
Scotland,6.21,1,Above-average speed
Jordan,6.13,3,Above-average speed
Panama,6.04,0,Above-average speed
England,5.88,20,Below-average speed
Paraguay,5.9,3,Below-average speed
Portugal,5.83,8,Below-average speed
France,5.93,20,Below-average speed
Qatar,5.64,2,Below-average speed
Switzerland,5.97,10,Below-average speed
Ecuador,5.72,2,Below-average speed
Colombia,5.63,5,Below-average speed
Netherlands,5.77,11,Below-average speed
Senegal,5.86,10,Below-average speed
Uzbekistan,5.9,2,Below-average speed
Cabo Verde,5.87,4,Below-average speed
Haiti,5.96,2,Below-average speed
Ghana,5.76,2,Below-average speed
Argentina,5.61,19,Below-average speed
Congo DR,5.96,5,Below-average speed
Curaçao,5.74,1,Below-average speed
Morocco,5.87,10,Below-average speed
Côte d'Ivoire,5.81,5,Below-average speed
Uruguay,5.88,3,Below-average speed
